Format: Memory_Config,Total_Read_Latency,Read_Transactions,Total_Write_latency,Write_Transactions
HPC0,OCM,13022,435,864,433
HPC0,OCM,158542,5279,10552,5277
HPC0,OCM,341617,11373,22740,11371
HPC0,OCM,535820,17837,35668,17835
HPC0,OCM,729968,24301,48594,24298
HPC0,OCM,924154,30765,61522,30762
HPC0,OCM,1118344,37229,74450,37226
HPC0,OCM,1318103,43877,87748,43875
HPC0,OCM,1517812,50525,101044,50523
HPC0,OCM,1723082,57359,114712,57357
HPC0,OCM,1928347,64192,128376,64189
HPC0,OCM,2133637,71025,142044,71023
HPC0,OCM,2338913,77858,155710,77856
HPC0,OCM,2544185,84691,169376,84689
HPC0,OCM,2749469,91525,183042,91522
HPC0,OCM,2954751,98358,196710,98356
HPC0,OCM,3160031,105191,210376,105189
HPC0,OCM,3376425,112394,224780,112392
HPC0,OCM,3592809,119596,239186,119594
HPC0,OCM,3809196,126799,253590,126796
HPC0,OCM,4025604,134001,267996,133999
HPC0,OCM,4242052,141204,282402,141202
HPC0,OCM,4458522,148406,296806,148404
HPC0,OCM,4674938,155609,311212,155607
HPC0,OCM,4891404,162811,325616,162809
HPC0,OCM,5107843,170014,340022,170012
HPC0,OCM,5324299,177217,354426,177214
HPC0,OCM,5540734,184419,368832,184417
HPC0,OCM,5757195,191621,383236,191619
HPC0,OCM,5973663,198824,397642,198822
HPC0,OCM,6190108,206027,412048,206025
HPC0,OCM,6406545,213229,426452,213227
HPC0,OCM,6622965,220432,440856,220429
HPC0,OCM,6839427,227634,455262,227632
HPC0,OCM,7055849,234837,469668,234835
HPC0,OCM,7272320,242039,484072,242037
HPC0,OCM,7488778,249242,498478,249240
HPC0,OCM,7705203,256444,512882,256442
HPC0,OCM,7921636,263647,527288,263645
HPC0,OCM,8138110,270850,541694,270848
HPC0,OCM,8354559,278052,556098,278050
HPC0,OCM,8570991,285255,570502,285252
HPC0,OCM,8787457,292457,584908,292455
HPC0,OCM,9003893,299660,599314,299658
HPC0,OCM,9220354,306862,613718,306860
HPC0,OCM,9436806,314065,628124,314063
HPC0,OCM,9653271,321267,642528,321265
HPC0,OCM,9869715,328470,656932,328468
HPC0,OCM,10086188,335673,671338,335670
HPC0,OCM,10308178,343060,686114,343058
HPC0,OCM,10530175,350447,700886,350444
HPC0,OCM,10752194,357834,715662,357832
HPC0,OCM,10974224,365221,730436,365219
HPC0,OCM,11196208,372608,745210,372606
HPC0,OCM,11418205,379996,759984,379993
HPC0,OCM,11640215,387383,774760,387381
HPC0,OCM,11862217,394770,789534,394768
HPC0,OCM,12084205,402158,804308,402155
HPC0,OCM,12306204,409545,819082,409543
HPC0,OCM,12528217,416932,833858,416930
HPC0,OCM,12750234,424319,848632,424317
HPC0,OCM,12972250,431706,863406,431704
HPC0,OCM,13194236,439093,878180,439091
HPC0,OCM,13416252,446481,892956,446479
HPC0,OCM,13638274,453868,907730,453866
HPC0,OCM,13860275,461255,922504,461253
HPC0,OCM,14082281,468643,937278,468640
HPC0,OCM,14304263,476030,952054,476028
HPC0,OCM,14526253,483417,966828,483415
HPC0,OCM,14748274,490804,981602,490802
HPC0,OCM,14970264,498191,996376,498189
HPC0,OCM,15192247,505579,1011150,505576
HPC0,OCM,15419806,513151,1026294,513148
HPC0,OCM,15647365,520722,1041438,520720
HPC0,OCM,15874871,528294,1056582,528292
HPC0,OCM,16102348,535866,1071726,535864
HPC0,OCM,16329827,543438,1086870,543436
HPC0,OCM,16557281,551010,1102014,551008
HPC0,OCM,16784799,558582,1117158,558580
HPC0,OCM,17012278,566154,1132302,566152
HPC0,OCM,17239714,573726,1147446,573724
HPC0,OCM,17467175,581298,1162588,581296
HPC0,OCM,17694653,588870,1177734,588868
HPC0,OCM,17922131,596442,1192876,596439
HPC0,OCM,18149620,604013,1208020,604011
HPC0,OCM,18377124,611585,1223164,611583
HPC0,OCM,18604596,619158,1238308,619155
HPC0,OCM,18832070,626729,1253452,626727
HPC0,OCM,19059540,634301,1268596,634299
HPC0,OCM,19287001,641873,1283740,641871
HPC0,OCM,19514473,649445,1298884,649443
HPC0,OCM,19741923,657017,1314028,657015
HPC0,OCM,19969452,664589,1329172,664587
HPC0,OCM,20197003,672161,1344316,672159
HPC0,OCM,20424547,679732,1359458,679730
HPC0,OCM,20652101,687305,1374604,687303
HPC0,OCM,20879656,694876,1389746,694874
HPC0,OCM,21107213,702448,1404890,702446
HPC0,OCM,21334728,710020,1420034,710018
HPC0,OCM,21562310,717592,1435178,717590
OCM test run cycles 34062427
