=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2020.02.19 23:33:52 =~=~=~=~=~=~=~=~=~=~=~=
cycles to write 8000000 HPC0 DDR bytes: 96534772
cycles to write 8000000 HPC0 DDR bytes: 103153368
cycles to write 8000000 HPC0 OCM bytes: 94378271
cycles to write 8000000 HPC0 OCM bytes: 97254397
cycles to write 8000000 HPC0 CACHE bytes: 2094962
cycles to write 8000000 HPC0 CACHE bytes: 2094862
cycles to write 8000000 HPC0 OCM bytes: 2094888
cycles to write 8000000 HPC0 OCM bytes: 12752982
Format: Memory_Config,Total_Read_Latency,Read_Transactions,Total_Write_latency,Write_Transactions
HPC0,CACHE,42064915,333774,5248074,333771
HPC0,CACHE,44473381,353015,5548242,353011
HPC0,CACHE,46885160,372134,5849407,372130
HPC0,CACHE,49296283,391282,6150348,391279
HPC0,CACHE,51703079,410590,6450070,410587
HPC0,CACHE,54119842,429525,6753376,429522
HPC0,CACHE,56536912,448466,7056746,448462
HPC0,CACHE,58953606,467409,7360015,467404
HPC0,CACHE,61370756,486354,7663389,486350
HPC0,CACHE,63788213,505281,7966801,505278
HPC0,CACHE,66205319,524223,8270181,524219
HPC0,CACHE,68622244,543157,8573595,543153
HPC0,CACHE,71039480,562091,8876979,562088
HPC0,CACHE,73457888,580909,9180819,580906
HPC0,CACHE,75876404,599736,9484705,599732
HPC0,CACHE,78295329,618558,9788724,618554
HPC0,CACHE,80714142,637389,10092696,637384
HPC0,CACHE,83188820,656646,10403667,656642
HPC0,CACHE,85663587,675904,10714669,675902
HPC0,CACHE,88138466,695167,11025643,695162
HPC0,CACHE,90613122,714438,11336723,714434
HPC0,CACHE,93087711,733727,11648757,733723
HPC0,CACHE,95561891,753044,11960670,753040
HPC0,CACHE,98035769,772364,12272548,772359
HPC0,CACHE,100509857,791676,12584398,791673
HPC0,CACHE,103040056,811430,12903335,811424
HPC0,CACHE,105570600,831159,13222427,831155
HPC0,CACHE,108101058,850916,13541426,850914
HPC0,CACHE,110631480,870656,13860493,870652
HPC0,CACHE,113160942,890272,14180071,890268
HPC0,CACHE,115690796,909887,14499679,909882
HPC0,CACHE,118220164,929512,14819174,929508
HPC0,CACHE,120749672,949128,15138816,949124
HPC0,CACHE,123279145,968749,15458368,968746
HPC0,CACHE,125808647,988381,15777860,988378
HPC0,CACHE,128338244,1008004,16097482,1008000
HPC0,CACHE,130980168,1028504,16431193,1028500
HPC0,CACHE,133623947,1048954,16765329,1048950
HPC0,CACHE,136268327,1069396,17099475,1069391
HPC0,CACHE,138912523,1089831,17433613,1089827
HPC0,CACHE,141556345,1110275,17767736,1110271
HPC0,CACHE,144200255,1130718,18101884,1130714
HPC0,CACHE,146844558,1151165,18436094,1151161
HPC0,CACHE,149488882,1171603,18770226,1171600
HPC0,CACHE,152132777,1192038,19104442,1192033
HPC0,CACHE,154776499,1212461,19439692,1212457
HPC0,CACHE,157420489,1232890,19774944,1232887
HPC0,CACHE,160063830,1253331,20110133,1253327
HPC0,CACHE,162707411,1273764,20445319,1273759
HPC0,CACHE,165350975,1294197,20780563,1294194
HPC0,CACHE,167994180,1314638,21115725,1314634
HPC0,CACHE,170638340,1335067,21451048,1335064
HPC0,CACHE,173281710,1355497,21786152,1355493
HPC0,CACHE,175924022,1375914,22121157,1375909
HPC0,CACHE,178566454,1396344,22456147,1396340
HPC0,CACHE,181208521,1416760,22791188,1416756
HPC0,CACHE,183850500,1437174,23126287,1437170
HPC0,CACHE,186492731,1457588,23461353,1457584
HPC0,CACHE,189135089,1477996,23796430,1477991
HPC0,CACHE,191777273,1498423,24131474,1498419
HPC0,CACHE,194419008,1518851,24466497,1518847
HPC0,CACHE,197059169,1539282,24802242,1539278
HPC0,CACHE,199699618,1559699,25138049,1559696
HPC0,CACHE,202339549,1580122,25473783,1580116
HPC0,CACHE,204979627,1600535,25809596,1600531
HPC0,CACHE,207620479,1620944,26145415,1620940
HPC0,CACHE,210260519,1641370,26481175,1641366
HPC0,CACHE,212900991,1661796,26816944,1661792
HPC0,CACHE,215541878,1682224,27152728,1682218
HPC0,CACHE,218180538,1702630,27489153,1702626
HPC0,CACHE,220821388,1723011,27825704,1723007
HPC0,CACHE,223460345,1743411,28162135,1743407
HPC0,CACHE,226099787,1763799,28498628,1763795
HPC0,CACHE,228739116,1784210,28835052,1784204
HPC0,CACHE,231378413,1804603,29171523,1804600
HPC0,CACHE,234017950,1825001,29508000,1824996
HPC0,CACHE,236657894,1845372,29844594,1845368
HPC0,CACHE,239292803,1865799,30181526,1865796
HPC0,CACHE,241927297,1886238,30518425,1886233
HPC0,CACHE,244562315,1906668,30855362,1906664
HPC0,CACHE,247197186,1927103,31192273,1927100
HPC0,CACHE,249831744,1947541,31529169,1947537
HPC0,CACHE,252336772,1966970,31849586,1966966
CACHE test run cycles 38984062
Tests Completed
