Format: Memory_Config,Total_Read_Latency,Read_Transactions,Total_Write_latency,Write_Transactions
HP0,OCM,12456,522,1042,526
HP0,OCM,36096,1509,3014,1511
HP0,OCM,59952,2501,5002,2505
HP0,OCM,154920,6459,12914,6460
HP0,OCM,321600,13403,26804,13407
HP0,OCM,498672,20783,41562,20784
HP0,OCM,675744,28159,56314,28162
HP0,OCM,852792,35538,71072,35539
HP0,OCM,1029888,42915,85828,42919
HP0,OCM,1212168,50510,101018,50513
HP0,OCM,1399656,58322,116642,58326
HP0,OCM,1587096,66134,132264,66135
HP0,OCM,1774608,73948,147892,73949
HP0,OCM,1962120,81758,163514,81761
HP0,OCM,2149608,89570,179138,89574
HP0,OCM,2337072,97383,194762,97384
HP0,OCM,2524560,105195,210388,105197
HP0,OCM,2722488,113442,226880,113443
HP0,OCM,2920368,121685,243370,121689
HP0,OCM,3118296,129932,259862,129935
HP0,OCM,3316200,138178,276354,138182
HP0,OCM,3514104,146424,292846,146428
HP0,OCM,3711984,154670,309338,154673
HP0,OCM,3909912,162916,325832,162920
HP0,OCM,4107816,171162,342322,171166
HP0,OCM,4305720,179408,358814,179412
HP0,OCM,4503624,187654,375304,187657
HP0,OCM,4701528,195900,391796,195903
HP0,OCM,4899432,204146,408290,204150
HP0,OCM,5097336,212392,424782,212395
HP0,OCM,5295216,220639,441274,220641
HP0,OCM,5493120,228885,457766,228887
HP0,OCM,5691048,237131,474258,237134
HP0,OCM,5888904,245376,490750,245377
HP0,OCM,6086832,253623,507242,253624
HP0,OCM,6284712,261868,523732,261869
HP0,OCM,6482616,270114,540226,270115
HP0,OCM,6680544,278361,556718,278362
HP0,OCM,6878448,286607,573210,286608
HP0,OCM,7076352,294853,589702,294854
HP0,OCM,7274256,303100,606196,303101
HP0,OCM,7472184,311346,622688,311347
HP0,OCM,7670088,319592,639182,319593
HP0,OCM,7867992,327838,655672,327839
HP0,OCM,8065896,336082,672162,336085
HP0,OCM,8263800,344328,688654,344332
HP0,OCM,8461704,352574,705146,352577
HP0,OCM,8659608,360820,721638,360824
HP0,OCM,8857512,369066,738130,369070
HP0,OCM,9055416,377312,754622,377315
HP0,OCM,9253320,385558,771112,385561
HP0,OCM,9451224,393804,787606,393808
HP0,OCM,9649128,402050,804098,402054
HP0,OCM,9847032,410296,820590,410299
HP0,OCM,10044912,418543,837082,418545
HP0,OCM,10248048,427007,854010,427008
HP0,OCM,10451160,435468,870932,435471
HP0,OCM,10654248,443932,887860,443933
HP0,OCM,10857384,452394,904786,452398
HP0,OCM,11060472,460858,921712,460859
HP0,OCM,11263608,469320,938638,469324
HP0,OCM,11466696,477784,955564,477786
HP0,OCM,11669808,486245,972490,486249
HP0,OCM,11872944,494709,989414,494712
HP0,OCM,12076032,503173,1006342,503174
HP0,OCM,12284328,511852,1023700,511853
HP0,OCM,12492672,520533,1041062,520535
HP0,OCM,12701016,529212,1058422,529216
HP0,OCM,12909336,537892,1075782,537896
HP0,OCM,13117656,546572,1093142,546575
HP0,OCM,13325952,555253,1110502,555254
HP0,OCM,13534248,563932,1127860,563933
HP0,OCM,13742592,572612,1145222,572615
HP0,OCM,13950936,581292,1162582,581296
HP0,OCM,14159256,589972,1179942,589976
HP0,OCM,14367576,598652,1197302,598655
HP0,OCM,14575872,607333,1214662,607334
HP0,OCM,14784168,616012,1232020,616013
HP0,OCM,14992512,624692,1249382,624695
HP0,OCM,15200856,633372,1266742,633376
HP0,OCM,15409176,642052,1284102,642056
HP0,OCM,15617496,650732,1301462,650735
HP0,OCM,15825792,659413,1318822,659414
HP0,OCM,16034088,668092,1336180,668093
HP0,OCM,16242456,676773,1353542,676776
HP0,OCM,16450776,685452,1370902,685456
HP0,OCM,16659096,694132,1388262,694136
HP0,OCM,16867416,702812,1405622,702815
HP0,OCM,17075712,711493,1422982,711494
HP0,OCM,17284008,720172,1440340,720173
HP0,OCM,17492352,728853,1457702,728855
HP0,OCM,17700696,737532,1475062,737536
HP0,OCM,17909016,746212,1492422,746216
HP0,OCM,18117336,754892,1509782,754895
HP0,OCM,18325632,763573,1527142,763574
HP0,OCM,18533928,772252,1544500,772253
HP0,OCM,18742272,780933,1561862,780935
HP0,OCM,18950616,789612,1579222,789616
HP0,OCM,19158936,798292,1596582,798296
HP0,OCM,19367256,806972,1613942,806975
OCM test run cycles 32605394
