Format: Memory_Config,Total_Read_Latency,Read_Transactions,Total_Write_latency,Write_Transactions
HP0,DDR,15597,384,6763,389
HP0,DDR,45959,1119,20156,1122
HP0,DDR,119582,2913,52510,2917
HP0,DDR,326426,7973,142981,7978
HP0,DDR,539838,13191,236361,13195
HP0,DDR,766229,18724,335470,18727
HP0,DDR,992586,24256,434609,24259
HP0,DDR,1218898,29787,533726,29790
HP0,DDR,1451757,35477,635643,35481
HP0,DDR,1684624,41162,737716,41166
HP0,DDR,1917470,46850,839716,46854
HP0,DDR,2150252,52542,941624,52545
HP0,DDR,2383086,58232,1043532,58236
HP0,DDR,2622351,64078,1148391,64081
HP0,DDR,2861735,69924,1253252,69928
HP0,DDR,3100995,75772,1358020,75776
HP0,DDR,3340236,81622,1462717,81625
HP0,DDR,3579575,87468,1567535,87472
HP0,DDR,3818833,93317,1672287,93320
HP0,DDR,4058120,99167,1776964,99171
HP0,DDR,4297331,105018,1881602,105023
HP0,DDR,4549539,111183,1992028,111187
HP0,DDR,4801798,117348,2102467,117353
HP0,DDR,5053994,123512,2212854,123516
HP0,DDR,5306196,129678,2323297,129681
HP0,DDR,5558402,135843,2433628,135847
HP0,DDR,5810638,142007,2544133,142010
HP0,DDR,6062881,148169,2654596,148173
HP0,DDR,6315045,154334,2765011,154337
HP0,DDR,6567353,160496,2875527,160500
HP0,DDR,6819586,166660,2985971,166664
HP0,DDR,7071803,172824,3096414,172828
HP0,DDR,7323986,178989,3206832,178993
HP0,DDR,7576244,185154,3317303,185157
HP0,DDR,7828407,191318,3427618,191322
HP0,DDR,8080646,197482,3538141,197485
HP0,DDR,8332846,203648,3648509,203652
HP0,DDR,8585074,209811,3758988,209814
HP0,DDR,8837342,215976,3869357,215980
HP0,DDR,9089522,222141,3979764,222145
HP0,DDR,9341708,228307,4090128,228310
HP0,DDR,9593902,234474,4200435,234478
HP0,DDR,9846120,240638,4310917,240641
HP0,DDR,10098353,246801,4421322,246806
HP0,DDR,10357011,253125,4534533,253129
HP0,DDR,10615674,259449,4647785,259452
HP0,DDR,10874354,265771,4761061,265774
HP0,DDR,11133042,272092,4874356,272095
HP0,DDR,11391784,278414,4987619,278418
HP0,DDR,11650435,284737,5100804,284742
HP0,DDR,11909121,291060,5214108,291064
HP0,DDR,12167754,297386,5327288,297389
HP0,DDR,12426422,303709,5440523,303712
HP0,DDR,12685145,310032,5553741,310036
HP0,DDR,12943782,316357,5666888,316361
HP0,DDR,13202405,322684,5780023,322688
HP0,DDR,13461062,329007,5893166,329011
HP0,DDR,13719742,335329,6006419,335333
HP0,DDR,13978454,341650,6119771,341653
HP0,DDR,14237090,347974,6232914,347978
HP0,DDR,14495836,354296,6346207,354300
HP0,DDR,14754486,360620,6459409,360624
HP0,DDR,15013131,366945,6572561,366949
HP0,DDR,15271835,373266,6685935,373269
HP0,DDR,15530484,379589,6799124,379593
HP0,DDR,15789212,385913,6912364,385917
HP0,DDR,16047860,392237,7025537,392241
HP0,DDR,16306526,398559,7138754,398564
HP0,DDR,16565212,404882,7252049,404886
HP0,DDR,16823860,411207,7365278,411210
HP0,DDR,17082507,417532,7478452,417535
HP0,DDR,17341180,423854,7591714,423857
HP0,DDR,17599930,430175,7704997,430179
HP0,DDR,17858595,436498,7818191,436503
HP0,DDR,18117244,442822,7931379,442827
HP0,DDR,18375902,449147,8044599,449150
HP0,DDR,18634554,455471,8157796,455474
HP0,DDR,18893242,461792,8271101,461795
HP0,DDR,19151956,468116,8384288,468120
HP0,DDR,19410619,474439,8497527,474443
HP0,DDR,19669335,480759,8610866,480763
HP0,DDR,19927968,487085,8724037,487088
HP0,DDR,20186622,493408,8837226,493412
HP0,DDR,20445388,499729,8950574,499733
HP0,DDR,20704050,506052,9063804,506056
HP0,DDR,20962732,512374,9177084,512378
HP0,DDR,21221388,518698,9290269,518702
HP0,DDR,21480093,525019,9403642,525022
HP0,DDR,21738723,531344,9516759,531348
HP0,DDR,21997331,537671,9629839,537675
HP0,DDR,22256064,543994,9743113,543998
HP0,DDR,22514699,550319,9856273,550323
HP0,DDR,22773374,556642,9969500,556647
HP0,DDR,23032007,562968,10082667,562971
HP0,DDR,23297150,569447,10198721,569452
HP0,DDR,23562318,575929,10314774,575933
HP0,DDR,23827410,582412,10430822,582415
HP0,DDR,24092532,588894,10546850,588897
HP0,DDR,24357729,595377,10662860,595381
HP0,DDR,24622866,601857,10778920,601861
DDR test run cycles 33384131
