=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2020.02.21 08:33:36 =~=~=~=~=~=~=~=~=~=~=~=
cycles to write 8000000 HPC0 DDR bytes: 128878310
cycles to read 8000000 HPC0 DDR bytes: 128902838
cycles to write 8000000 HPC0 OCM bytes: 128722693
cycles to read 8000000 HPC0 OCM bytes: 119270964
cycles to write 8000000 HPC0 CACHE bytes: 2673229
cycles to read 8000000 HPC0 CACHE bytes: 2645799
cycles to write 8000000 HPC0 OCM bytes: 2673235
cycles to read 8000000 HPC0 OCM bytes: 6259075
Format: Memory_Config,Total_Read_Latency,Read_Transactions,Total_Write_latency,Write_Transactions
simple_read(59)
simple_read(60)
simple_read(61)
simple_read(62)
simple_read(63)
simple_read(64)
simple_read(65)
simple_read(66)
simple_read(67)
simple_read(68)
simple_read(69)
simple_read(70)
simple_read(71)
simple_read(72)
simple_read(73)
simple_read(74)
simple_read(75)
simple_read(76)
simple_read(77)
simple_read(78)
simple_read(79)
simple_read(80)
simple_read(81)
simple_read(82)
simple_read(83)
simple_read(84)
simple_read(85)
simple_read(86)
simple_read(87)
simple_read(88)
simple_read(89)
simple_read(90)
simple_read(91)
simple_read(92)
simple_read(93)
simple_read(94)
simple_read(95)
simple_read(96)
simple_read(97)
simple_read(98)
simple_read(99)
Format: Memory_Config,Total_Read_Latency,Read_Transactions,Total_Write_latency,Write_Transactions
HPC0,CACHE,4124,19,731,14
HPC0,CACHE,61383,140,8569,134
HPC0,CACHE,1463059,3238,201750,3232
HPC0,CACHE,7972378,17571,1098502,17566
HPC0,CACHE,15009077,33083,2067994,33078
HPC0,CACHE,22220956,48997,3061666,48991
HPC0,CACHE,29434130,64895,4055376,64890
HPC0,CACHE,36645316,80855,5048703,80849
HPC0,CACHE,43857022,96789,6042096,96784
HPC0,CACHE,51069077,112735,7035429,112731
HPC0,CACHE,58632905,129454,8077122,129448
HPC0,CACHE,66196463,146170,9119111,146164
HPC0,CACHE,73761117,162890,10160909,162884
HPC0,CACHE,81500533,179999,11226828,179994
HPC0,CACHE,89240736,197111,12292789,197103
HPC0,CACHE,96979263,214284,13359151,214279
HPC0,CACHE,104718974,231455,14425347,231449
HPC0,CACHE,112633559,249003,15515828,248998
HPC0,CACHE,120548358,266567,16606247,266563
HPC0,CACHE,128463364,284129,17696810,284124
HPC0,CACHE,136378030,301693,18787360,301687
HPC0,CACHE,144293592,319248,19877807,319242
HPC0,CACHE,152208547,336812,20968357,336806
HPC0,CACHE,160121019,354564,22057056,354558
HPC0,CACHE,168033688,372328,23145842,372322
HPC0,CACHE,175946566,390075,24234821,390070
HPC0,CACHE,183859494,407828,25323749,407822
HPC0,CACHE,191772399,425579,26412671,425574
HPC0,CACHE,199684633,443330,27501587,443323
HPC0,CACHE,207597944,461081,28590580,461075
HPC0,CACHE,215510182,478837,29679468,478831
HPC0,CACHE,223422094,496751,30767093,496746
HPC0,CACHE,231332079,514723,31853502,514717
HPC0,CACHE,239242720,532696,32939893,532691
HPC0,CACHE,247153351,550670,34026328,550664
HPC0,CACHE,255063723,568640,35112746,568634
HPC0,CACHE,262974123,586611,36199150,586606
HPC0,CACHE,270884466,604583,37285554,604576
HPC0,CACHE,278794810,622555,38371986,622549
HPC0,CACHE,286705242,640528,39458314,640522
HPC0,CACHE,294615564,658500,40544773,658495
HPC0,CACHE,302525864,676471,41631182,676465
HPC0,CACHE,310436606,694444,42717627,694439
HPC0,CACHE,318346097,712414,43803935,712407
HPC0,CACHE,326256900,730384,44890386,730379
HPC0,CACHE,334166882,748352,45976821,748347
HPC0,CACHE,342077669,766324,47063271,766319
HPC0,CACHE,349988706,784295,48149753,784289
HPC0,CACHE,357898833,802269,49236087,802263
HPC0,CACHE,365808966,820241,50322553,820235
HPC0,CACHE,373719487,838211,51408935,838206
HPC0,CACHE,381629732,856181,52495308,856176
HPC0,CACHE,389540603,874152,53581763,874146
HPC0,CACHE,397450897,892123,54668170,892118
HPC0,CACHE,405361726,910094,55754465,910088
HPC0,CACHE,413271779,928062,56841058,928056
HPC0,CACHE,421181934,946034,57927461,946028
HPC0,CACHE,429092754,964006,59013858,964001
HPC0,CACHE,437002263,981976,60100224,981971
HPC0,CACHE,444913588,999947,61186696,999941
HPC0,CACHE,452823533,1017917,62273094,1017912
HPC0,CACHE,461085210,1036688,63407763,1036683
HPC0,CACHE,469347538,1055456,64542400,1055450
HPC0,CACHE,477609436,1074227,65677187,1074220
HPC0,CACHE,485871996,1092996,66811919,1092990
HPC0,CACHE,494133954,1111768,67946605,1111763
HPC0,CACHE,502395407,1130539,69081286,1130534
HPC0,CACHE,510657986,1149312,70215992,1149307
HPC0,CACHE,518919909,1168076,71350707,1168071
HPC0,CACHE,527181685,1186846,72485332,1186839
HPC0,CACHE,535443298,1205616,73620115,1205611
HPC0,CACHE,543705031,1224386,74754726,1224379
HPC0,CACHE,551967251,1243155,75889554,1243150
HPC0,CACHE,560229453,1261927,77024223,1261922
HPC0,CACHE,568491646,1280699,78158814,1280692
HPC0,CACHE,576753532,1299465,79293622,1299459
