=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2020.02.19 20:33:23 =~=~=~=~=~=~=~=~=~=~=~=
cycles to write 8000000 DDR bytes: 92128476
cycles to read 8000000 DDR bytes: 102133308
cycles to write 8000000 CACHE bytes: 2094908
cycles to read 8000000 CACHE bytes: 2094862
cycles to write 8000000 OCM bytes: 2094886
cycles to read 8000000 OCM bytes: 12515142
Format: Memory_Config,Total_Read_Latency,Read_Transactions,Total_Write_latency,Write_Transactions
HP0,OCM,6774534,199255,8966344,199257
HP0,OCM,7009440,206163,9277204,206167
HP0,OCM,7244278,213072,9588109,213074
HP0,OCM,7479218,219980,9899014,219984
HP0,OCM,7714124,226890,10209919,226893
HP0,OCM,7955014,233974,10528699,233978
HP0,OCM,8195938,241060,10847569,241064
HP0,OCM,8436828,248145,11166439,248150
HP0,OCM,8677752,255233,11485354,255235
HP0,OCM,8918642,262318,11804179,262320
HP0,OCM,9159600,269404,12123049,269408
HP0,OCM,9400524,276489,12441874,276493
HP0,OCM,9641414,283574,12760699,283578
HP0,OCM,9882338,290660,13079569,290664
HP0,OCM,10123228,297747,13398484,297749
HP0,OCM,10370170,305008,13725274,305013
HP0,OCM,10617146,312271,14052109,312276
HP0,OCM,10864020,319535,14378944,319537
HP0,OCM,11110996,326798,14705779,326800
HP0,OCM,11357938,334059,15032569,334064
HP0,OCM,11604846,341322,15359404,341327
HP0,OCM,11851822,348587,15686284,348590
HP0,OCM,12098730,355849,16013074,355852
HP0,OCM,12345672,363111,16339909,363115
HP0,OCM,12592614,370374,16666744,370378
HP0,OCM,12839556,377637,16993534,377641
HP0,OCM,13086430,384900,17320369,384902
HP0,OCM,13333440,392164,17647249,392167
HP0,OCM,13580348,399425,17974039,399430
HP0,OCM,13827324,406688,18300874,406693
HP0,OCM,14074266,413953,18627754,413956
HP0,OCM,14321140,421215,18954544,421217
HP0,OCM,14568116,428476,19281334,428481
HP0,OCM,14815058,435740,19608169,435744
HP0,OCM,15062000,443003,19935049,443007
HP0,OCM,15308908,450266,20261839,450269
HP0,OCM,15555884,457530,20588719,457532
HP0,OCM,15802792,464791,20915509,464795
HP0,OCM,16049734,472054,21242299,472058
HP0,OCM,16296642,479318,21569179,479320
HP0,OCM,16543618,486581,21896014,486584
HP0,OCM,16790526,493842,22222804,493847
HP0,OCM,17037502,501106,22549639,501110
HP0,OCM,17284376,508369,22876474,508371
HP0,OCM,17531318,515632,23203309,515634
HP0,OCM,17778294,522894,23530144,522898
HP0,OCM,18025236,530157,23856934,530161
HP0,OCM,18272178,537420,24183814,537424
HP0,OCM,18519086,544683,24510604,544685
HP0,OCM,18766028,551947,24837484,551949
HP0,OCM,19012970,559208,25164229,559212
HP0,OCM,19259912,566471,25491064,566475
HP0,OCM,19506820,573735,25817944,573737
HP0,OCM,19753796,580998,26144779,581000
