Format: Memory_Config,Total_Read_Latency,Read_Transactions,Total_Write_latency,Write_Transactions
HPC0,CACHE,15201,366,5276,367
HPC0,CACHE,32442,779,11308,780
HPC0,CACHE,143241,3441,49819,3442
HPC0,CACHE,370702,8894,129149,8895
HPC0,CACHE,604559,14510,210467,14510
HPC0,CACHE,851469,20433,296443,20434
HPC0,CACHE,1098405,26356,382489,26357
HPC0,CACHE,1351799,32437,470698,32438
HPC0,CACHE,1605189,38518,558896,38519
HPC0,CACHE,1858614,44593,647345,44594
HPC0,CACHE,2112010,50674,735556,50674
HPC0,CACHE,2365391,56755,823762,56756
HPC0,CACHE,2618506,62856,911099,62857
HPC0,CACHE,2867106,69279,984348,69280
HPC0,CACHE,3115671,75704,1057509,75705
HPC0,CACHE,3370636,82292,1132644,82293
HPC0,CACHE,3625592,88883,1207627,88884
HPC0,CACHE,3880469,95474,1282599,95475
HPC0,CACHE,4135420,102066,1357582,102066
HPC0,CACHE,4403110,108984,1436425,108985
HPC0,CACHE,4670788,115905,1515117,115906
HPC0,CACHE,4938420,122829,1593786,122828
HPC0,CACHE,5206130,129746,1672619,129746
HPC0,CACHE,5473795,136665,1751450,136666
HPC0,CACHE,5741545,143581,1830366,143582
HPC0,CACHE,6009219,150503,1909063,150504
HPC0,CACHE,6276827,157429,1987615,157428
HPC0,CACHE,6544547,164344,2066532,164345
HPC0,CACHE,6812048,171278,2144624,171278
HPC0,CACHE,7074422,178577,2206631,178578
HPC0,CACHE,7336751,185879,2268598,185879
HPC0,CACHE,7599080,193179,2330254,193180
HPC0,CACHE,7861422,200481,2392266,200482
HPC0,CACHE,8123796,207781,2454182,207782
HPC0,CACHE,8386140,215083,2516043,215084
HPC0,CACHE,8648440,222386,2577913,222387
HPC0,CACHE,8910785,229688,2639803,229689
HPC0,CACHE,9173159,236988,2701478,236989
HPC0,CACHE,9435474,244290,2763109,244291
HPC0,CACHE,9697776,251592,2825102,251593
HPC0,CACHE,9960138,258895,2887062,258896
HPC0,CACHE,10222468,266197,2948917,266198
HPC0,CACHE,10491021,273674,3012190,273675
HPC0,CACHE,10759539,281155,3075365,281155
HPC0,CACHE,11027770,288655,3137714,288654
HPC0,CACHE,11290713,296534,3183418,296533
HPC0,CACHE,11553659,304413,3229100,304413
HPC0,CACHE,11816564,312292,3274756,312292
HPC0,CACHE,12079425,320177,3320212,320177
HPC0,CACHE,12342286,328060,3365804,328059
HPC0,CACHE,12605198,335942,3411358,335941
HPC0,CACHE,12868143,343821,3457048,343821
HPC0,CACHE,13131087,351700,3502722,351700
HPC0,CACHE,13393966,359582,3548262,359583
HPC0,CACHE,13656827,367466,3593747,367467
HPC0,CACHE,13919727,375347,3639439,375346
HPC0,CACHE,14182668,383225,3685095,383225
HPC0,CACHE,14445619,391105,3730795,391105
HPC0,CACHE,14708508,398986,3776386,398986
HPC0,CACHE,14971361,406870,3821823,406871
HPC0,CACHE,15233873,414779,3866349,414777
HPC0,CACHE,15489546,423157,3889813,423156
HPC0,CACHE,15745230,431533,3913288,431532
HPC0,CACHE,16000935,439909,3936778,439910
HPC0,CACHE,16256630,448286,3960237,448287
HPC0,CACHE,16512226,456669,3983612,456667
HPC0,CACHE,16767901,465047,4007041,465046
HPC0,CACHE,17023565,473424,4030473,473424
HPC0,CACHE,17279251,481802,4053921,481803
HPC0,CACHE,17534830,490184,4077212,490184
HPC0,CACHE,17790556,498560,4100835,498559
HPC0,CACHE,18046296,506935,4124378,506935
HPC0,CACHE,18302044,515310,4147928,515311
HPC0,CACHE,18557731,523688,4171374,523689
HPC0,CACHE,18813340,532068,4194842,532067
HPC0,CACHE,19069044,540446,4218287,540445
HPC0,CACHE,19323739,548831,4241373,548829
HPC0,CACHE,19561485,557314,4258339,557312
HPC0,CACHE,19799459,565797,4275305,565795
HPC0,CACHE,20037437,574279,4292269,574277
HPC0,CACHE,20275301,582762,4309235,582760
HPC0,CACHE,20513050,591245,4326199,591243
HPC0,CACHE,20750803,599727,4343165,599725
HPC0,CACHE,20988582,608210,4360131,608208
HPC0,CACHE,21226304,616693,4377097,616691
HPC0,CACHE,21464059,625175,4394061,625173
HPC0,CACHE,21701812,633658,4411027,633656
HPC0,CACHE,21939600,642141,4427993,642139
HPC0,CACHE,22177533,650624,4444959,650622
HPC0,CACHE,22415314,659106,4461923,659104
HPC0,CACHE,22653297,667589,4478889,667587
HPC0,CACHE,22891244,676072,4495855,676070
HPC0,CACHE,23129218,684555,4512819,684552
HPC0,CACHE,23366997,693037,4529785,693035
HPC0,CACHE,23604758,701520,4546751,701518
HPC0,CACHE,23842484,710003,4563717,710001
HPC0,CACHE,24080241,718486,4580683,718484
HPC0,CACHE,24318016,726968,4597647,726966
HPC0,CACHE,24555738,735451,4614613,735449
HPC0,CACHE,24793495,743934,4631577,743932
CACHE test run cycles 35950236
