=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2020.02.20 00:11:05 =~=~=~=~=~=~=~=~=~=~=~=
cycles to write 40000 DDR bytes: 936697
cycles to read 40000 DDR bytes: 1050599
cycles to write 40000 OCM bytes: 947731
cycles to read 40000 OCM bytes: 976392
cycles to write 40000 CACHE bytes: 24361
cycles to read 40000 CACHE bytes: 21063
cycles to write 40000 OCM bytes: 24358
cycles to read 40000 OCM bytes: 125377
Format: Memory_Config,Total_Read_Latency,Read_Transactions,Total_Write_latency,Write_Transactions
HPC0,CACHE,49384599,378204,6171253,378201
HPC0,CACHE,51801549,396720,6473608,396715
HPC0,CACHE,54217849,415238,6775835,415234
HPC0,CACHE,56634785,433760,7078101,433756
HPC0,CACHE,59051901,452280,7380420,452276
HPC0,CACHE,61468564,470808,7682680,470805
HPC0,CACHE,63885472,489331,7985000,489327
HPC0,CACHE,66302348,507856,8287343,507852
HPC0,CACHE,68717932,526378,8590113,526374
HPC0,CACHE,71133821,544902,8892921,544898
HPC0,CACHE,73548802,563439,9195599,563435
HPC0,CACHE,75964019,581976,9498273,581972
HPC0,CACHE,78379420,600506,9800998,600502
HPC0,CACHE,80795008,619026,10103797,619022
HPC0,CACHE,83266564,637988,10413582,637983
HPC0,CACHE,85737943,656952,10723334,656948
HPC0,CACHE,88209415,675894,11033165,675890
HPC0,CACHE,90681277,694851,11342970,694846
HPC0,CACHE,93152849,713788,11652767,713785
HPC0,CACHE,95624343,732753,11962506,732747
HPC0,CACHE,98096150,751712,12272305,751708
HPC0,CACHE,100567644,770668,12582053,770664
HPC0,CACHE,103095425,790069,12898871,790065
HPC0,CACHE,105622934,809460,13215726,809456
HPC0,CACHE,108148722,828852,13532989,828848
HPC0,CACHE,110674351,848232,13850239,848228
HPC0,CACHE,113200058,867627,14167451,867623
HPC0,CACHE,115725366,887026,14484684,887022
HPC0,CACHE,118251398,906425,14801968,906421
HPC0,CACHE,120776848,925809,15119159,925805
HPC0,CACHE,123302347,945198,15436376,945195
HPC0,CACHE,125827971,964588,15753574,964583
HPC0,CACHE,128353183,983976,16070814,983972
HPC0,CACHE,130878865,1003352,16388098,1003348
HPC0,CACHE,133516453,1023612,16719348,1023608
HPC0,CACHE,136154377,1043871,17050711,1043867
HPC0,CACHE,138792443,1064137,17382032,1064133
HPC0,CACHE,141429866,1084391,17713296,1084386
HPC0,CACHE,144067551,1104643,18044662,1104639
HPC0,CACHE,146705560,1124894,18376010,1124890
HPC0,CACHE,149343337,1145279,18707674,1145275
HPC0,CACHE,151980791,1165672,19039278,1165668
HPC0,CACHE,154618127,1186034,19370935,1186029
