=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2020.02.15 23:33:27 =~=~=~=~=~=~=~=~=~=~=~=
cycles to write 40000 DDR bytes: 927844
cycles to read 40000 DDR bytes: 1050917
cycles to write 40000 CACHE bytes: 24357
cycles to read 40000 CACHE bytes: 21061
cycles to write 40000 OCM bytes: 24366
cycles to read 40000 OCM bytes: 125228
Format: Memory_Config,Total_Read_Latency,Read_Transactions,Total_Write_latency,Write_Transactions
HP0,OCM,7063738,207761,415518,207761
HP0,OCM,7288002,214357,428710,214357
HP0,OCM,7512300,220954,441904,220954
HP0,OCM,7736598,227551,455098,227552
HP0,OCM,7960896,234148,468292,234148
HP0,OCM,8185194,240744,481484,240744
HP0,OCM,8409492,247341,494678,247342
HP0,OCM,8633790,253939,507874,253939
HP0,OCM,8858088,260536,521068,260536
HP0,OCM,9082352,267131,534260,267133
HP0,OCM,9306650,273728,547454,273730
HP0,OCM,9530948,280325,560646,280327
HP0,OCM,9755246,286922,573840,286924
HP0,OCM,9979544,293519,587034,293521
HP0,OCM,10203842,300115,600228,300117
HP0,OCM,10433988,306886,613768,306886
HP0,OCM,10664202,313656,627308,313658
HP0,OCM,10894416,320427,640850,320429
HP0,OCM,11124596,327197,654390,327199
HP0,OCM,11354810,333967,667930,333969
HP0,OCM,11584956,340738,681472,340738
HP0,OCM,11815170,347508,695012,347510
HP0,OCM,12045350,354279,708554,354279
HP0,OCM,12275564,361049,722094,361051
HP0,OCM,12505710,367820,735636,367820
HP0,OCM,12735958,374591,749178,374591
HP0,OCM,12966138,381361,762718,381362
HP0,OCM,13196318,388131,776258,388131
HP0,OCM,13426532,394901,789798,394903
HP0,OCM,13656712,401672,803340,401672
HP0,OCM,13886926,408442,816880,408444
HP0,OCM,14117072,415212,830420,415212
HP0,OCM,14347320,421982,843962,421984
HP0,OCM,14577500,428754,857504,428755
HP0,OCM,14807680,435523,871044,435525
HP0,OCM,15037894,442294,884584,442296
HP0,OCM,15268074,449064,898124,449064
HP0,OCM,15498288,455835,911666,455836
HP0,OCM,15728434,462606,925206,462606
HP0,OCM,15958682,469375,938748,469377
HP0,OCM,16188828,476146,952288,476146
HP0,OCM,16419076,482916,965830,482918
HP0,OCM,16649256,489687,979370,489689
HP0,OCM,16879436,496458,992912,496458
HP0,OCM,17109650,503227,1006450,503229
HP0,OCM,17345746,510171,1020340,510173
HP0,OCM,17581808,517115,1034228,517117
HP0,OCM,17817904,524060,1048114,524060
HP0,OCM,18053966,531004,1062004,531004
HP0,OCM,18290096,537948,1075892,537950
HP0,OCM,18526226,544891,1089778,544893
HP0,OCM,18762322,551835,1103668,551837
HP0,OCM,18998384,558779,1117556,558781
HP0,OCM,19234480,565724,1131442,565724
HP0,OCM,19470542,572668,1145332,572668
HP0,OCM,19706672,579612,1159220,579614
HP0,OCM,19942802,586555,1173106,586557
HP0,OCM,20178898,593499,1186996,593501
HP0,OCM,20414960,600443,1200884,600445
HP0,OCM,20651056,607388,1214770,607388
HP0,OCM,20887118,614332,1228660,614332
HP0,OCM,21123248,621276,1242548,621278
HP0,OCM,21359378,628219,1256434,628221
HP0,OCM,21595474,635163,1270324,635165
HP0,OCM,21831536,642107,1284212,642109
OCM test run cycles 32431830
Format: Memory_Config,Total_Read_Latency,Read_Transactions,Total_Write_latency,Write_Transactions
HPC0,DDR,16658,303,5414,306
HPC0,DDR,48849,875,16490,877
HPC0,DDR,80770,1443,27491,1446
HPC0,DDR,227701,4041,78379,4043
HPC0,DDR,457200,8106,157598,8108
HPC0,DDR,693728,12295,239228,12298
HPC0,DDR,944245,16718,326171,16721
HPC0,DDR,1194757,21150,412776,21153
HPC0,DDR,1452056,25706,501605,25709
HPC0,DDR,1709162,30281,589558,30284
HPC0,DDR,1966534,34837,678440,34840
HPC0,DDR,2223828,39398,767059,39402
HPC0,DDR,2481233,43952,856074,43955
HPC0,DDR,2738491,48513,944688,48516
HPC0,DDR,2995930,53067,1033689,53070
HPC0,DDR,3260152,57759,1124405,57762
HPC0,DDR,3524268,62450,1215067,62454
HPC0,DDR,3788535,67136,1306045,67138
HPC0,DDR,4052938,71810,1397575,71813
HPC0,DDR,4317213,76491,1488780,76494
HPC0,DDR,4581367,81183,1579435,81186
HPC0,DDR,4845612,85870,1670361,85873
HPC0,DDR,5109799,90561,1761063,90564
HPC0,DDR,5373927,95255,1851605,95258
HPC0,DDR,5637969,99956,1941818,99959
HPC0,DDR,5902205,104636,2033024,104638
HPC0,DDR,6180393,109568,2128804,109571
HPC0,DDR,6458721,114487,2225187,114490
HPC0,DDR,6737159,119399,2322013,119402
HPC0,DDR,7015183,124341,2417288,124343
HPC0,DDR,7293338,129272,2513093,129275
HPC0,DDR,7571243,134219,2608065,134221
HPC0,DDR,7849515,139145,2704132,139148
HPC0,DDR,8127722,144073,2800108,144076
HPC0,DDR,8406030,148994,2896454,148997
HPC0,DDR,8684226,153924,2992333,153926
HPC0,DDR,8962460,158849,3088429,158851
HPC0,DDR,9240373,163795,3183458,163797
HPC0,DDR,9518535,168729,3279111,168732
HPC0,DDR,9796769,173655,3375156,173658
HPC0,DDR,10074819,178596,3470552,178598
HPC0,DDR,10359915,183649,3568762,183652
HPC0,DDR,10644900,188714,3666452,188718
HPC0,DDR,10930049,193769,3764704,193771
HPC0,DDR,11215021,198831,3862480,198834
HPC0,DDR,11500399,203868,3961549,203870
HPC0,DDR,11785450,208929,4059430,208932
HPC0,DDR,12070499,213986,4157515,213988
HPC0,DDR,12355611,219041,4255686,219044
HPC0,DDR,12640778,224095,4353948,224097
HPC0,DDR,12925766,229155,4451790,229158
HPC0,DDR,13210675,234223,4549306,234225
HPC0,DDR,13496036,239261,4648405,239263
HPC0,DDR,13781293,244306,4747046,244309
HPC0,DDR,14066355,249366,4844977,249369
HPC0,DDR,14351437,254418,4943279,254421
HPC0,DDR,14636702,259466,5041847,259469
HPC0,DDR,14921655,264534,5139388,264537
HPC0,DDR,15206962,269573,5238337,269576
HPC0,DDR,15492216,274618,5337035,274621
HPC0,DDR,15777411,279666,5435577,279668
HPC0,DDR,16062512,284723,5533653,284725
HPC0,DDR,16347495,289784,5631489,289787
HPC0,DDR,16632426,294853,5728893,294856
HPC0,DDR,16917351,299927,5826180,299930
HPC0,DDR,17202604,304969,5924989,304971
HPC0,DDR,17487740,310019,6023379,310022
HPC0,DDR,17772760,315082,6121137,315086
HPC0,DDR,18057871,320139,6219227,320142
HPC0,DDR,18343145,325181,6318083,325183
HPC0,DDR,18628203,330240,6416037,330242
HPC0,DDR,18913457,335283,6514777,335285
HPC0,DDR,19198485,340344,6612649,340347
HPC0,DDR,19483441,345409,6710348,345411
HPC0,DDR,19768655,350458,6808842,350460
HPC0,DDR,20053967,355499,6907716,355502
HPC0,DDR,20339186,360547,7006230,360550
HPC0,DDR,20624202,365607,7104162,365611
HPC0,DDR,20909153,370675,7201669,370677
HPC0,DDR,21194092,375744,7299159,375747
HPC0,DDR,21479325,380787,7397878,380790
HPC0,DDR,21764374,385849,7495729,385852
HPC0,DDR,22049450,390903,7593916,390905
HPC0,DDR,22334639,395954,7692316,395956
HPC0,DDR,22619747,401006,7790574,401009
HPC0,DDR,22905173,406044,7889660,406047
HPC0,DDR,23190294,411093,7988127,411095
HPC0,DDR,23475366,416151,8086141,416154
HPC0,DDR,23760446,421210,8184116,421213
HPC0,DDR,24045482,426271,8281940,426274
HPC0,DDR,24330451,431332,8379809,431335
HPC0,DDR,24615740,436375,8478627,436378
HPC0,DDR,24901059,441419,8577323,441423
HPC0,DDR,25185985,446485,8674933,446488
HPC0,DDR,25471037,451546,8772831,451549
HPC0,DDR,25756169,456599,8871135,456601
HPC0,DDR,26041455,461642,8969942,461644
HPC0,DDR,26326606,466691,9068355,466694
HPC0,DDR,26611739,471745,9166597,471748
HPC0,DDR,26896783,476810,9264299,476813
DDR test run cycles 33907293
Format: Memory_Config,Total_Read_Latency,Read_Transactions,Total_Write_latency,Write_Transactions
HPC0,CACHE,15876,316,4177,316
HPC0,CACHE,34007,667,9307,667
HPC0,CACHE,143417,2812,39204,2812
HPC0,CACHE,382067,7463,105391,7463
HPC0,CACHE,627543,12250,173330,12251
HPC0,CACHE,886673,17303,245099,17304
HPC0,CACHE,1145735,22356,316846,22356
HPC0,CACHE,1411680,27542,390463,27543
HPC0,CACHE,1677572,32729,464061,32729
HPC0,CACHE,1943519,37915,537673,37916
HPC0,CACHE,2209469,43098,611478,43098
HPC0,CACHE,2475414,48283,685138,48283
HPC0,CACHE,2741117,53483,757971,53483
HPC0,CACHE,3003229,58939,816802,58939
HPC0,CACHE,3265536,64381,876341,64381
HPC0,CACHE,3527717,69836,935208,69837
HPC0,CACHE,3790022,75280,994658,75280
HPC0,CACHE,4052226,80733,1053678,80733
HPC0,CACHE,4321196,86318,1114605,86318
HPC0,CACHE,4590163,91907,1175299,91907
HPC0,CACHE,4859119,97496,1235942,97497
HPC0,CACHE,5128024,103087,1296562,103087
HPC0,CACHE,5410418,108958,1360144,108959
HPC0,CACHE,5692773,114829,1423774,114829
HPC0,CACHE,5975234,120694,1487650,120695
HPC0,CACHE,6257631,126563,1551361,126564
HPC0,CACHE,6540039,132431,1615137,132431
HPC0,CACHE,6822523,138292,1679257,138292
HPC0,CACHE,7104710,144176,1742176,144176
HPC0,CACHE,7383580,150299,1792721,150300
HPC0,CACHE,7662322,156427,1843045,156427
HPC0,CACHE,7941093,162554,1893372,162554
HPC0,CACHE,8219943,168676,1943956,168676
HPC0,CACHE,8498788,174799,1994508,174799
HPC0,CACHE,8777556,180928,2044804,180927
HPC0,CACHE,9056328,187054,2095146,187054
HPC0,CACHE,9335190,193175,2145766,193176
HPC0,CACHE,9614022,199299,2196289,199299
HPC0,CACHE,9892802,205428,2246602,205427
HPC0,CACHE,10171573,211554,2296952,211554
HPC0,CACHE,10457060,217823,2348751,217823
HPC0,CACHE,10742568,224090,2400563,224091
HPC0,CACHE,11027928,230365,2451977,230365
HPC0,CACHE,11313422,236635,2503692,236635
HPC0,CACHE,11598730,242917,2554664,242917
HPC0,CACHE,11880047,249483,2589916,249484
HPC0,CACHE,12161262,256054,2625047,256053
HPC0,CACHE,12442624,262616,2660513,262616
HPC0,CACHE,12723936,269184,2695685,269185
HPC0,CACHE,13005166,275755,2730834,275754
HPC0,CACHE,13286536,282319,2766192,282319
HPC0,CACHE,13567805,288886,2801428,288886
HPC0,CACHE,13849051,295457,2836560,295456
HPC0,CACHE,14130422,302021,2871910,302021
HPC0,CACHE,14411736,308586,2907231,308587
HPC0,CACHE,14692995,315157,2942408,315156
HPC0,CACHE,14974328,321721,2977764,321721
HPC0,CACHE,15255680,328286,3013090,328286
HPC0,CACHE,15536890,334857,3048220,334856
HPC0,CACHE,15818243,341422,3083523,341422
HPC0,CACHE,16099318,348005,3117926,348006
