=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2020.02.15 19:41:15 =~=~=~=~=~=~=~=~=~=~=~=
cycles to write 40000 DDR bytes: 3570212
cycles to read 40000 DDR bytes: 3427051
cycles to write 40000 CACHE bytes: 80296
cycles to read 40000 CACHE bytes: 79438
cycles to write 40000 OCM bytes: 80282
cycles to read 40000 OCM bytes: 185290
Format: Memory_Config,Total_Read_Latency,Read_Transactions,Total_Write_latency,Write_Transactions
HP0,OCM,7070470,207959,415918,207964
HP0,OCM,7294734,214556,429110,214560
HP0,OCM,7519032,221153,442306,221157
HP0,OCM,7743330,227750,455500,227754
HP0,OCM,7967628,234347,468694,234351
HP0,OCM,8191926,240944,481886,240948
HP0,OCM,8416224,247541,495080,247545
HP0,OCM,8640522,254138,508274,254142
HP0,OCM,8864786,260733,521468,260738
HP0,OCM,9089084,267330,534660,267334
HP0,OCM,9313382,273927,547854,273931
HP0,OCM,9537680,280524,561048,280528
HP0,OCM,9761944,287120,574240,287124
HP0,OCM,9986242,293717,587436,293721
HP0,OCM,10210540,300314,600630,300319
HP0,OCM,10440754,307085,614170,307089
HP0,OCM,10670934,313855,627710,313859
HP0,OCM,10901114,320626,641252,320630
HP0,OCM,11131328,327396,654792,327400
HP0,OCM,11361542,334167,668336,334172
HP0,OCM,11591688,340937,681874,340941
HP0,OCM,11821902,347707,695416,347711
HP0,OCM,12052082,354478,708954,354482
HP0,OCM,12282262,361248,722496,361252
HP0,OCM,12512476,368019,736036,368023
HP0,OCM,12742690,374789,749578,374793
HP0,OCM,12972870,381559,763118,381564
HP0,OCM,13203050,388329,776660,388334
HP0,OCM,13433264,395100,790202,395105
HP0,OCM,13663444,401871,803742,401875
HP0,OCM,13893624,408640,817282,408645
HP0,OCM,14123838,415412,830822,415416
HP0,OCM,14354018,422181,844364,422186
HP0,OCM,14584232,428952,857904,428956
HP0,OCM,14814412,435722,871444,435726
HP0,OCM,15044626,442493,884986,442497
HP0,OCM,15274806,449263,898526,449267
HP0,OCM,15505020,456034,912068,456038
HP0,OCM,15735166,462804,925608,462808
HP0,OCM,15965380,469574,939148,469578
HP0,OCM,16195560,476345,952688,476349
HP0,OCM,16425774,483115,966230,483119
HP0,OCM,16655954,489886,979772,489890
HP0,OCM,16886168,496656,993312,496661
HP0,OCM,17116348,503427,1006854,503431
HP0,OCM,17352444,510370,1020740,510374
HP0,OCM,17588540,517314,1034628,517318
HP0,OCM,17824636,524259,1048516,524263
HP0,OCM,18060698,531202,1062404,531206
HP0,OCM,18296828,538146,1076292,538151
HP0,OCM,18532924,545090,1090180,545094
HP0,OCM,18769020,552034,1104068,552038
HP0,OCM,19005116,558978,1117956,558982
HP0,OCM,19241212,565923,1131846,565927
HP0,OCM,19477274,572866,1145732,572870
HP0,OCM,19713404,579810,1159620,579815
HP0,OCM,19949500,586754,1173508,586758
HP0,OCM,20185596,593698,1187396,593702
HP0,OCM,20421692,600642,1201284,600646
HP0,OCM,20657788,607587,1215172,607591
HP0,OCM,20893850,614530,1229060,614534
HP0,OCM,21129980,621474,1242948,621479
HP0,OCM,21366076,628418,1256836,628422
HP0,OCM,21602172,635362,1270724,635366
HP0,OCM,21838268,642306,1284612,642310
OCM test run cycles 32441561
Format: Memory_Config,Total_Read_Latency,Read_Transactions,Total_Write_latency,Write_Transactions
HPC0,DDR,17075,311,5633,317
HPC0,DDR,49991,890,17223,894
HPC0,DDR,82496,1463,28651,1468
HPC0,DDR,229642,4024,81128,4029
HPC0,DDR,459950,8032,163297,8037
HPC0,DDR,697374,12153,248346,12159
HPC0,DDR,948978,16503,339138,16509
HPC0,DDR,1200504,20854,429806,20859
HPC0,DDR,1458961,25337,522459,25342
HPC0,DDR,1717313,29823,614964,29828
HPC0,DDR,1975802,34298,707900,34303
HPC0,DDR,2234432,38765,801432,38771
HPC0,DDR,2492589,43268,893077,43273
HPC0,DDR,2750602,47778,984345,47784
HPC0,DDR,3009143,52251,1077515,52256
HPC0,DDR,3274337,56866,1172119,56872
HPC0,DDR,3539763,61467,1267439,61473
HPC0,DDR,3804962,66085,1361866,66090
HPC0,DDR,4069709,70731,1454875,70737
HPC0,DDR,4334732,75362,1548637,75367
HPC0,DDR,4600597,79934,1645499,79940
HPC0,DDR,4866291,84517,1741676,84522
HPC0,DDR,5131881,89107,1837620,89113
HPC0,DDR,5397009,93726,1931970,93732
HPC0,DDR,5662293,98338,2026741,98344
HPC0,DDR,5928063,102915,2123253,102920
HPC0,DDR,6207184,107778,2222557,107783
HPC0,DDR,6486670,112615,2323186,112620
HPC0,DDR,6765822,117472,2422776,117478
HPC0,DDR,7045165,122319,2522909,122324
HPC0,DDR,7325199,127120,2625445,127125
HPC0,DDR,7604099,131994,2724179,131999
HPC0,DDR,7883525,136839,2824397,136845
HPC0,DDR,8162616,141704,2923654,141710
HPC0,DDR,8442060,146545,3024127,146550
HPC0,DDR,8721439,151385,3124544,151390
HPC0,DDR,9001075,156215,3225608,156220
HPC0,DDR,9280390,161059,3325819,161064
HPC0,DDR,9560035,165888,3426889,165893
HPC0,DDR,9839002,170764,3525596,170769
HPC0,DDR,10118472,175596,3626390,175602
HPC0,DDR,10405250,180533,3730616,180538
HPC0,DDR,10691248,185522,3832208,185527
HPC0,DDR,10977414,190507,3934011,190512
HPC0,DDR,11263932,195460,4037492,195465
HPC0,DDR,11550576,200407,4141134,200412
HPC0,DDR,11836935,205374,4243838,205379
HPC0,DDR,12123553,210318,4347664,210323
HPC0,DDR,12410133,215267,4451300,215272
HPC0,DDR,12696198,220259,4552755,220264
HPC0,DDR,12982603,225219,4655834,225224
HPC0,DDR,13268931,230188,4758351,230193
HPC0,DDR,13555529,235134,4862141,235139
HPC0,DDR,13841508,240129,4963403,240134
HPC0,DDR,14127425,245128,5064498,245133
HPC0,DDR,14413379,250120,5165918,250125
HPC0,DDR,14699531,255102,5267861,255106
HPC0,DDR,14986570,260021,5373040,260026
HPC0,DDR,15272262,265032,5473456,265038
HPC0,DDR,15558942,269976,5577302,269982
HPC0,DDR,15844812,274974,5678425,274979
HPC0,DDR,16130783,279969,5779724,279974
HPC0,DDR,16416845,284958,5881301,284963
HPC0,DDR,16702878,289944,5982968,289950
HPC0,DDR,16989062,294924,6085078,294929
HPC0,DDR,17275218,299905,6187031,299910
HPC0,DDR,17561266,304891,6288722,304896
