=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2020.02.15 23:38:34 =~=~=~=~=~=~=~=~=~=~=~=
cycles to write 40000 DDR bytes: 935318
cycles to read 40000 DDR bytes: 1048637
cycles to write 40000 CACHE bytes: 24358
cycles to read 40000 CACHE bytes: 21074
cycles to write 40000 OCM bytes: 24366
cycles to read 40000 OCM bytes: 127584
Format: Memory_Config,Total_Read_Latency,Read_Transactions,Total_Write_latency,Write_Transactions
HP0,DDR,15597,384,6763,389
HP0,DDR,45959,1119,20156,1122
HP0,DDR,119582,2913,52510,2917
HP0,DDR,326426,7973,142981,7978
HP0,DDR,539838,13191,236361,13195
HP0,DDR,766229,18724,335470,18727
HP0,DDR,992586,24256,434609,24259
HP0,DDR,1218898,29787,533726,29790
HP0,DDR,1451757,35477,635643,35481
HP0,DDR,1684624,41162,737716,41166
HP0,DDR,1917470,46850,839716,46854
HP0,DDR,2150252,52542,941624,52545
HP0,DDR,2383086,58232,1043532,58236
HP0,DDR,2622351,64078,1148391,64081
HP0,DDR,2861735,69924,1253252,69928
HP0,DDR,3100995,75772,1358020,75776
HP0,DDR,3340236,81622,1462717,81625
HP0,DDR,3579575,87468,1567535,87472
HP0,DDR,3818833,93317,1672287,93320
HP0,DDR,4058120,99167,1776964,99171
HP0,DDR,4297331,105018,1881602,105023
HP0,DDR,4549539,111183,1992028,111187
HP0,DDR,4801798,117348,2102467,117353
HP0,DDR,5053994,123512,2212854,123516
HP0,DDR,5306196,129678,2323297,129681
HP0,DDR,5558402,135843,2433628,135847
HP0,DDR,5810638,142007,2544133,142010
HP0,DDR,6062881,148169,2654596,148173
HP0,DDR,6315045,154334,2765011,154337
HP0,DDR,6567353,160496,2875527,160500
HP0,DDR,6819586,166660,2985971,166664
HP0,DDR,7071803,172824,3096414,172828
HP0,DDR,7323986,178989,3206832,178993
HP0,DDR,7576244,185154,3317303,185157
HP0,DDR,7828407,191318,3427618,191322
HP0,DDR,8080646,197482,3538141,197485
HP0,DDR,8332846,203648,3648509,203652
HP0,DDR,8585074,209811,3758988,209814
HP0,DDR,8837342,215976,3869357,215980
HP0,DDR,9089522,222141,3979764,222145
HP0,DDR,9341708,228307,4090128,228310
HP0,DDR,9593902,234474,4200435,234478
HP0,DDR,9846120,240638,4310917,240641
HP0,DDR,10098353,246801,4421322,246806
HP0,DDR,10357011,253125,4534533,253129
HP0,DDR,10615674,259449,4647785,259452
HP0,DDR,10874354,265771,4761061,265774
HP0,DDR,11133042,272092,4874356,272095
HP0,DDR,11391784,278414,4987619,278418
HP0,DDR,11650435,284737,5100804,284742
HP0,DDR,11909121,291060,5214108,291064
HP0,DDR,12167754,297386,5327288,297389
HP0,DDR,12426422,303709,5440523,303712
HP0,DDR,12685145,310032,5553741,310036
HP0,DDR,12943782,316357,5666888,316361
HP0,DDR,13202405,322684,5780023,322688
HP0,DDR,13461062,329007,5893166,329011
HP0,DDR,13719742,335329,6006419,335333
HP0,DDR,13978454,341650,6119771,341653
HP0,DDR,14237090,347974,6232914,347978
HP0,DDR,14495836,354296,6346207,354300
HP0,DDR,14754486,360620,6459409,360624
HP0,DDR,15013131,366945,6572561,366949
HP0,DDR,15271835,373266,6685935,373269
HP0,DDR,15530484,379589,6799124,379593
HP0,DDR,15789212,385913,6912364,385917
HP0,DDR,16047860,392237,7025537,392241
HP0,DDR,16306526,398559,7138754,398564
HP0,DDR,16565212,404882,7252049,404886
HP0,DDR,16823860,411207,7365278,411210
HP0,DDR,17082507,417532,7478452,417535
HP0,DDR,17341180,423854,7591714,423857
HP0,DDR,17599930,430175,7704997,430179
HP0,DDR,17858595,436498,7818191,436503
HP0,DDR,18117244,442822,7931379,442827
HP0,DDR,18375902,449147,8044599,449150
HP0,DDR,18634554,455471,8157796,455474
HP0,DDR,18893242,461792,8271101,461795
HP0,DDR,19151956,468116,8384288,468120
HP0,DDR,19410619,474439,8497527,474443
HP0,DDR,19669335,480759,8610866,480763
HP0,DDR,19927968,487085,8724037,487088
HP0,DDR,20186622,493408,8837226,493412
HP0,DDR,20445388,499729,8950574,499733
HP0,DDR,20704050,506052,9063804,506056
HP0,DDR,20962732,512374,9177084,512378
HP0,DDR,21221388,518698,9290269,518702
HP0,DDR,21480093,525019,9403642,525022
HP0,DDR,21738723,531344,9516759,531348
HP0,DDR,21997331,537671,9629839,537675
HP0,DDR,22256064,543994,9743113,543998
HP0,DDR,22514699,550319,9856273,550323
HP0,DDR,22773374,556642,9969500,556647
HP0,DDR,23032007,562968,10082667,562971
HP0,DDR,23297150,569447,10198721,569452
HP0,DDR,23562318,575929,10314774,575933
HP0,DDR,23827410,582412,10430822,582415
HP0,DDR,24092532,588894,10546850,588897
HP0,DDR,24357729,595377,10662860,595381
HP0,DDR,24622866,601857,10778920,601861
DDR test run cycles 33384131
Format: Memory_Config,Total_Read_Latency,Read_Transactions,Total_Write_latency,Write_Transactions
HP0,OCM,12456,522,1042,526
HP0,OCM,36096,1509,3014,1511
HP0,OCM,59952,2501,5002,2505
HP0,OCM,154920,6459,12914,6460
HP0,OCM,321600,13403,26804,13407
HP0,OCM,498672,20783,41562,20784
HP0,OCM,675744,28159,56314,28162
HP0,OCM,852792,35538,71072,35539
HP0,OCM,1029888,42915,85828,42919
HP0,OCM,1212168,50510,101018,50513
HP0,OCM,1399656,58322,116642,58326
HP0,OCM,1587096,66134,132264,66135
HP0,OCM,1774608,73948,147892,73949
HP0,OCM,1962120,81758,163514,81761
HP0,OCM,2149608,89570,179138,89574
HP0,OCM,2337072,97383,194762,97384
HP0,OCM,2524560,105195,210388,105197
HP0,OCM,2722488,113442,226880,113443
HP0,OCM,2920368,121685,243370,121689
HP0,OCM,3118296,129932,259862,129935
HP0,OCM,3316200,138178,276354,138182
HP0,OCM,3514104,146424,292846,146428
HP0,OCM,3711984,154670,309338,154673
HP0,OCM,3909912,162916,325832,162920
HP0,OCM,4107816,171162,342322,171166
HP0,OCM,4305720,179408,358814,179412
HP0,OCM,4503624,187654,375304,187657
HP0,OCM,4701528,195900,391796,195903
HP0,OCM,4899432,204146,408290,204150
HP0,OCM,5097336,212392,424782,212395
HP0,OCM,5295216,220639,441274,220641
HP0,OCM,5493120,228885,457766,228887
HP0,OCM,5691048,237131,474258,237134
HP0,OCM,5888904,245376,490750,245377
HP0,OCM,6086832,253623,507242,253624
HP0,OCM,6284712,261868,523732,261869
HP0,OCM,6482616,270114,540226,270115
HP0,OCM,6680544,278361,556718,278362
HP0,OCM,6878448,286607,573210,286608
HP0,OCM,7076352,294853,589702,294854
HP0,OCM,7274256,303100,606196,303101
HP0,OCM,7472184,311346,622688,311347
HP0,OCM,7670088,319592,639182,319593
HP0,OCM,7867992,327838,655672,327839
HP0,OCM,8065896,336082,672162,336085
HP0,OCM,8263800,344328,688654,344332
HP0,OCM,8461704,352574,705146,352577
HP0,OCM,8659608,360820,721638,360824
HP0,OCM,8857512,369066,738130,369070
HP0,OCM,9055416,377312,754622,377315
HP0,OCM,9253320,385558,771112,385561
HP0,OCM,9451224,393804,787606,393808
HP0,OCM,9649128,402050,804098,402054
HP0,OCM,9847032,410296,820590,410299
HP0,OCM,10044912,418543,837082,418545
HP0,OCM,10248048,427007,854010,427008
HP0,OCM,10451160,435468,870932,435471
HP0,OCM,10654248,443932,887860,443933
HP0,OCM,10857384,452394,904786,452398
HP0,OCM,11060472,460858,921712,460859
HP0,OCM,11263608,469320,938638,469324
HP0,OCM,11466696,477784,955564,477786
HP0,OCM,11669808,486245,972490,486249
HP0,OCM,11872944,494709,989414,494712
HP0,OCM,12076032,503173,1006342,503174
HP0,OCM,12284328,511852,1023700,511853
HP0,OCM,12492672,520533,1041062,520535
HP0,OCM,12701016,529212,1058422,529216
HP0,OCM,12909336,537892,1075782,537896
HP0,OCM,13117656,546572,1093142,546575
HP0,OCM,13325952,555253,1110502,555254
HP0,OCM,13534248,563932,1127860,563933
HP0,OCM,13742592,572612,1145222,572615
HP0,OCM,13950936,581292,1162582,581296
HP0,OCM,14159256,589972,1179942,589976
HP0,OCM,14367576,598652,1197302,598655
HP0,OCM,14575872,607333,1214662,607334
HP0,OCM,14784168,616012,1232020,616013
HP0,OCM,14992512,624692,1249382,624695
HP0,OCM,15200856,633372,1266742,633376
HP0,OCM,15409176,642052,1284102,642056
HP0,OCM,15617496,650732,1301462,650735
HP0,OCM,15825792,659413,1318822,659414
HP0,OCM,16034088,668092,1336180,668093
HP0,OCM,16242456,676773,1353542,676776
HP0,OCM,16450776,685452,1370902,685456
HP0,OCM,16659096,694132,1388262,694136
HP0,OCM,16867416,702812,1405622,702815
HP0,OCM,17075712,711493,1422982,711494
HP0,OCM,17284008,720172,1440340,720173
HP0,OCM,17492352,728853,1457702,728855
HP0,OCM,17700696,737532,1475062,737536
HP0,OCM,17909016,746212,1492422,746216
HP0,OCM,18117336,754892,1509782,754895
HP0,OCM,18325632,763573,1527142,763574
HP0,OCM,18533928,772252,1544500,772253
HP0,OCM,18742272,780933,1561862,780935
HP0,OCM,18950616,789612,1579222,789616
HP0,OCM,19158936,798292,1596582,798296
HP0,OCM,19367256,806972,1613942,806975
OCM test run cycles 32605394
Format: Memory_Config,Total_Read_Latency,Read_Transactions,Total_Write_latency,Write_Transactions
HPC0,DDR,16097,346,6672,349
HPC0,DDR,47136,996,20218,1001
HPC0,DDR,78087,1655,33476,1659
HPC0,DDR,225235,4840,94755,4843
HPC0,DDR,445033,9601,186073,9604
HPC0,DDR,671417,14512,279930,14515
HPC0,DDR,911116,19711,379311,19714
HPC0,DDR,1150809,24908,478760,24910
HPC0,DDR,1397151,30250,580963,30253
HPC0,DDR,1643629,35586,683432,35590
HPC0,DDR,1890026,40926,785789,40929
HPC0,DDR,2136535,46260,888332,46262
HPC0,DDR,2382937,51597,990699,51601
HPC0,DDR,2629397,56934,1093154,56937
HPC0,DDR,2882532,62410,1198552,62413
HPC0,DDR,3135619,67894,1303653,67897
HPC0,DDR,3388711,73378,1408781,73381
HPC0,DDR,3641795,78858,1513995,78862
HPC0,DDR,3894955,84336,1619301,84340
HPC0,DDR,4148029,89819,1724442,89823
HPC0,DDR,4401104,95304,1829551,95308
HPC0,DDR,4654233,100781,1934840,100785
HPC0,DDR,4920555,106558,2045294,106562
HPC0,DDR,5186942,112331,2155843,112336
HPC0,DDR,5453298,118107,2266386,118110
HPC0,DDR,5719675,123883,2376838,123887
HPC0,DDR,5986094,129649,2487703,129652
HPC0,DDR,6252509,135418,2598411,135422
HPC0,DDR,6518929,141192,2708989,141194
HPC0,DDR,6785363,146961,2819751,146964
HPC0,DDR,7051648,152739,2930143,152742
HPC0,DDR,7318155,158503,3041076,158506
HPC0,DDR,7584416,164283,3151362,164286
HPC0,DDR,7850727,170059,3261780,170063
HPC0,DDR,8117070,175839,3372155,175841
HPC0,DDR,8383487,181609,3482863,181612
HPC0,DDR,8649977,187372,3593819,187375
HPC0,DDR,8916402,193145,3704435,193148
HPC0,DDR,9182867,198911,3815320,198915
HPC0,DDR,9449175,204686,3925872,204690
HPC0,DDR,9715555,210458,4036441,210462
HPC0,DDR,9981942,216231,4146974,216236
HPC0,DDR,10248298,222007,4257516,222010
HPC0,DDR,10521428,227918,4371046,227923
HPC0,DDR,10794384,233841,4484162,233845
HPC0,DDR,11067333,239764,4597347,239767
HPC0,DDR,11340385,245679,4710798,245682
HPC0,DDR,11613520,251592,4824329,251595
HPC0,DDR,11886569,257505,4937818,257509
HPC0,DDR,12159523,263431,5050859,263435
HPC0,DDR,12432642,269345,5164386,269348
HPC0,DDR,12705325,275283,5276857,275286
HPC0,DDR,12978402,281200,5390262,281203
HPC0,DDR,13251273,287127,5503152,287131
HPC0,DDR,13524182,293057,5616072,293060
HPC0,DDR,13797407,298959,5730056,298962
HPC0,DDR,14070541,304872,5843595,304875
HPC0,DDR,14343538,310786,5956990,310790
HPC0,DDR,14616596,316708,6070214,316711
HPC0,DDR,14889543,322627,6183487,322630
HPC0,DDR,15162781,328530,6297344,328535
HPC0,DDR,15435849,334449,6410744,334452
HPC0,DDR,15708794,340371,6523875,340375
HPC0,DDR,15981828,346287,6637274,346290
HPC0,DDR,16254956,352201,6750816,352204
HPC0,DDR,16527970,358118,6864134,358122
HPC0,DDR,16801064,364030,6977701,364033
HPC0,DDR,17074074,369952,7090920,369955
HPC0,DDR,17347150,375865,7204440,375868
HPC0,DDR,17620118,381786,7317601,381790
HPC0,DDR,17893011,387716,7430390,387720
HPC0,DDR,18166141,393628,7543978,393632
