
Format: Memory_Config,Total_Read_Latency,Bytes_Read... Running Test with buffer size 100 and rest time of 100
CACHE,11547696,239597,2713054,239597
CACHE,11799120,245198,2756775,245198
CACHE,12050538,250800,2800476,250800
CACHE,12301990,256401,2844157,256402
CACHE,12553380,262004,2887794,262004
CACHE,12804778,267606,2931443,267606
CACHE,13056042,273218,2974575,273218
CACHE,13303853,279077,3003468,279077
CACHE,13551718,284932,3032628,284932
CACHE,13799558,290789,3061610,290789
CACHE,14047433,296646,3090689,296646
CACHE,14295309,302499,3119853,302500
CACHE,14543109,308360,3148725,308359
CACHE,14791014,314213,3177903,314214
CACHE,15038747,320074,3206794,320073
CACHE,15286690,325927,3235975,325927
CACHE,15534529,331785,3264935,331786
CACHE,15782367,337642,3294039,337641
CACHE,16030249,343496,3323124,343496
CACHE,16278043,349356,3352064,349355
CACHE,16525948,355209,3381244,355209
CACHE,16773719,361070,3410124,361069
CACHE,17021481,366933,3438779,366933
CACHE,17265427,373069,3452705,373068
CACHE,17509391,379203,3466649,379203
CACHE,17753335,385339,3480571,385339
CACHE,17997240,391476,3494504,391474
CACHE,18241204,397609,3508454,397609
CACHE,18485147,403745,3522373,403745
CACHE,18729090,409882,3536306,409881
CACHE,18973054,416016,3550261,416016
CACHE,19216997,422152,3564199,422151
CACHE,19460902,428289,3578121,428287
CACHE,19704904,434422,3592067,434422
CACHE,19948809,440559,3605989,440558
CACHE,20192749,446693,3619912,446693
CACHE,20436716,452828,3633864,452828
CACHE,20680621,458965,3647797,458964
CACHE,20924388,465101,3661687,465099
CACHE,21156497,471210,3673903,471207
CACHE,21388604,477318,3686121,477315
CACHE,21620710,483426,3698335,483423
CACHE,21852819,489534,3710553,489531
CACHE,22084964,495642,3722769,495640
CACHE,22317070,501750,3734985,501748
CACHE,22549175,507858,3747201,507856
CACHE,22781283,513967,3759417,513964
CACHE,23013390,520075,3771633,520072
CACHE,23245501,526183,3783849,526180
CACHE,23477644,532291,3796067,532289
Format: Memory_Config,Total_Read_Latency,Bytes_Read... Running Test with buffer size 100 and rest time of 100
OCM,7361,186,364,183
OCM,132761,3321,6634,3318
OCM,300161,7506,15004,7503
OCM,473764,11845,23684,11843
OCM,659765,16495,32984,16493
OCM,845769,21145,42284,21143
OCM,1031769,25795,51584,25793
OCM,1223970,30601,61194,30598
OCM,1416170,35406,70804,35403
OCM,1608370,40211,80414,40208
OCM,1800571,45015,90024,45013
OCM,1992772,49821,99634,49818
OCM,2184972,54626,109244,54623
OCM,2383372,59586,119164,59583
OCM,2581773,64545,129084,64543
OCM,2780173,69506,139004,69503
OCM,2978573,74466,148924,74463
OCM,3176973,79426,158844,79423
OCM,3375373,84386,168764,84383
OCM,3573774,89346,178684,89343
OCM,3772174,94306,188604,94303
OCM,3970577,99266,198524,99263
OCM,4168986,104226,208444,104223
OCM,4379786,109496,218984,109493
OCM,4590587,114765,229524,114763
OCM,4801390,120036,240064,120033
OCM,5012191,125306,250604,125303
OCM,5222992,130575,261144,130573
OCM,5433853,135845,271684,135843
OCM,5644653,141116,282224,141113
OCM,5855480,146386,292764,146383
OCM,6066280,151656,303304,151653
OCM,6277095,156926,313844,156923
OCM,6487895,162195,324384,162193
OCM,6698696,167466,334924,167463
OCM,6909567,172736,345464,172733
OCM,7120367,178005,356004,178003
OCM,7331172,183275,366544,183273
OCM,7541973,188545,377084,188543
OCM,7752781,193816,387624,193813
OCM,7963581,199085,398164,199083
OCM,8174382,204355,408704,204353
OCM,8385200,209626,419244,209623
OCM,8596000,214895,429784,214893
OCM,8806801,220165,440324,220163
OCM,9017606,225436,450864,225433
OCM,9228406,230705,461404,230703
OCM,9439225,235976,471944,235973
OCM,9650025,241245,482484,241243
OCM,9860881,246515,493024,246513
OCM,10071707,251785,503564,251783
OCM,10288708,257210,514414,257208
OCM,10505710,262636,525264,262633
OCM,10722711,268061,536114,268058
OCM,10939762,273485,546964,273483
OCM,11156762,278911,557814,278908
OCM,11373762,284335,568664,284333
OCM,11590762,289760,579514,289758
OCM,11807790,295185,590364,295183
OCM,12024790,300610,601214,300608
OCM,12241791,306035,612064,306033
OCM,12458791,311460,622914,311458
OCM,12675791,316885,633764,316883
OCM,12892791,322310,644614,322308
OCM,13109794,327735,655464,327733
OCM,13326795,333160,666314,333158
OCM,13543795,338586,677164,338583
OCM,13760796,344011,688014,344008
OCM,13977796,349435,698864,349433
OCM,14194796,354861,709714,354858
OCM,14411809,360285,720564,360283
OCM,14628813,365710,731414,365708
OCM,14845865,371135,742264,371133
OCM,15062865,376560,753114,376558
OCM,15279868,381985,763964,381983
OCM,15496896,387410,774814,387408
OCM,15713897,392835,785664,392833
OCM,15930966,398260,796514,398258
OCM,16147966,403685,807364,403683
OCM,16364972,409110,818214,409108
OCM,16581972,414535,829064,414533
OCM,16798973,419960,839914,419958
OCM,17016028,425385,850764,425383
OCM,17233039,430810,861614,430808
OCM,17450040,436235,872464,436233
OCM,17667046,441660,883314,441658
OCM,17884006,447085,894164,447082
OCM,18101046,452510,905014,452508
OCM,18318047,457935,915864,457933
OCM,18535047,463360,926714,463358
OCM,18752048,468785,937564,468783
OCM,18969051,474210,948414,474208
OCM,19186052,479635,959264,479633
OCM,19403052,485060,970114,485058
OCM,19620053,490485,980964,490483
OCM,19837053,495910,991814,495908
OCM,20054053,501335,1002664,501333
OCM,20277254,506915,1013824,506913
OCM,20500454,512495,1024984,512493
OCM,20723660,518075,1036144,518073
